date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-19,永洪,douyin,老人肺部护理,1,老人肺部护理教程,https://www.douyin.com/search/老人肺部护理,,FALLBACK
2025-10-19,永洪,douyin,老人肺部护理,2,老人肺部护理方法,https://www.douyin.com/search/老人肺部护理,,FALLBACK
2025-10-19,永洪,douyin,老人肺部护理,3,老人肺部护理技巧,https://www.douyin.com/search/老人肺部护理,,FALLBACK
2025-10-19,永洪,douyin,数据分析,1,数据分析教程,https://www.douyin.com/search/数据分析,,FALLBACK
2025-10-19,永洪,douyin,数据分析,2,数据分析方法,https://www.douyin.com/search/数据分析,,FALLBACK
2025-10-19,永洪,douyin,数据分析,3,数据分析技巧,https://www.douyin.com/search/数据分析,,FALLBACK
2025-10-19,永洪,douyin,商业智能,1,商业智能教程,https://www.douyin.com/search/商业智能,,FALLBACK
2025-10-19,永洪,douyin,商业智能,2,商业智能方法,https://www.douyin.com/search/商业智能,,FALLBACK
2025-10-19,永洪,douyin,商业智能,3,商业智能技巧,https://www.douyin.com/search/商业智能,,FALLBACK
2025-10-19,永洪,douyin,报表制作,1,报表制作教程,https://www.douyin.com/search/报表制作,,FALLBACK
2025-10-19,永洪,douyin,报表制作,2,报表制作方法,https://www.douyin.com/search/报表制作,,FALLBACK
2025-10-19,永洪,douyin,报表制作,3,报表制作技巧,https://www.douyin.com/search/报表制作,,FALLBACK
2025-10-19,永洪,douyin,数据可视化,1,数据可视化教程,https://www.douyin.com/search/数据可视化,,FALLBACK
2025-10-19,永洪,douyin,数据可视化,2,数据可视化方法,https://www.douyin.com/search/数据可视化,,FALLBACK
2025-10-19,永洪,douyin,数据可视化,3,数据可视化技巧,https://www.douyin.com/search/数据可视化,,FALLBACK
2025-10-19,永洪,douyin,企业管理,1,企业管理教程,https://www.douyin.com/search/企业管理,,FALLBACK
2025-10-19,永洪,douyin,企业管理,2,企业管理方法,https://www.douyin.com/search/企业管理,,FALLBACK
2025-10-19,永洪,douyin,企业管理,3,企业管理技巧,https://www.douyin.com/search/企业管理,,FALLBACK
2025-10-19,永洪,douyin,财务分析,1,财务分析教程,https://www.douyin.com/search/财务分析,,FALLBACK
2025-10-19,永洪,douyin,财务分析,2,财务分析方法,https://www.douyin.com/search/财务分析,,FALLBACK
2025-10-19,永洪,douyin,财务分析,3,财务分析技巧,https://www.douyin.com/search/财务分析,,FALLBACK
2025-10-19,永洪,douyin,销售统计,1,销售统计教程,https://www.douyin.com/search/销售统计,,FALLBACK
2025-10-19,永洪,douyin,销售统计,2,销售统计方法,https://www.douyin.com/search/销售统计,,FALLBACK
2025-10-19,永洪,douyin,销售统计,3,销售统计技巧,https://www.douyin.com/search/销售统计,,FALLBACK
2025-10-19,永洪,douyin,客户管理,1,客户管理教程,https://www.douyin.com/search/客户管理,,FALLBACK
2025-10-19,永洪,douyin,客户管理,2,客户管理方法,https://www.douyin.com/search/客户管理,,FALLBACK
2025-10-19,永洪,douyin,客户管理,3,客户管理技巧,https://www.douyin.com/search/客户管理,,FALLBACK
2025-10-19,永洪,douyin,业务流程,1,业务流程教程,https://www.douyin.com/search/业务流程,,FALLBACK
2025-10-19,永洪,douyin,业务流程,2,业务流程方法,https://www.douyin.com/search/业务流程,,FALLBACK
2025-10-19,永洪,douyin,业务流程,3,业务流程技巧,https://www.douyin.com/search/业务流程,,FALLBACK
